@relation player_diff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute AST numeric
@attribute BLK numeric
@attribute DREB numeric
@attribute FG3A numeric
@attribute FG3M numeric
@attribute FG3_PCT numeric
@attribute FGA numeric
@attribute FGM numeric
@attribute FG_PCT numeric
@attribute FTA numeric
@attribute FTM numeric
@attribute FT_PCT numeric
@attribute OREB numeric
@attribute PF numeric
@attribute PLUS_MINUS numeric
@attribute PTS numeric
@attribute REB numeric
@attribute STL numeric
@attribute TOV numeric
@attribute WL {-1,1}

@data
-34,41,107,-117,-45,-17.683,-63,40,19.493,143,74,17.826,133,38,525,109,240,-11,18,1
4,37,-11,-40,-15,-12,-152,-41,8.365,10,35,14.764,0,-50,69,-62,-11,-77,-36,-1
14,9,-71,169,56,-1.225,220,102,3.258,-8,-14,-2.33,25,22,368,246,-46,92,27,1
66,-8,-24,110,39,18.498,266,114,12.308,17,33,14.542,-16,29,22,300,-40,30,31,1
67,23,93,34,23,8.157,314,150,9.956,-2,-4,-0.7,68,140,-59,319,161,34,42,-1
-227,72,327,-223,-98,-28.823,534,329,7.346,236,202,27.189,143,-27,128,762,470,-6,-17,1
44,-39,-179,256,79,5.438,247,55,-10.749,32,44,11.67,-156,-78,-252,233,-335,-22,-1,1
-39,-48,-182,-11,3,-1.078,30,25,-1.931,-24,-5,-6.465,-62,-52,-453,48,-244,-43,-5,-1
-104,32,182,-185,-66,-20.822,-99,3,13.546,9,-3,3.016,141,15,202,-63,323,-4,-13,-1
-21,68,153,-125,-48,-17.4,191,151,22.291,141,74,20.46,170,69,600,328,323,16,37,1
27,22,119,49,19,11.9,204,114,26.024,68,50,20,63,102,-113,297,182,28,26,-1
6,24,70,-42,-15,-12,-99,-24,11.384,-65,-44,-1.338,58,-28,278,-107,128,-84,-9,-1
-262,-92,-338,16,20,3.652,-778,-403,-14.627,-354,-256,-40.609,-64,-104,37,-1042,-402,-68,-161,-1
-124,34,7,-485,-176,-25.968,-545,-161,-0.147,-104,-93,-27.06,47,-24,448,-591,54,-34,-59,1
76,9,83,297,108,6.742,649,285,3.843,61,44,13.467,20,57,174,722,103,73,56,1
52,5,92,40,12,11.5,73,40,10.004,44,19,2.367,91,35,131,111,183,40,27,-1
118,10,71,179,60,5.387,497,196,1.533,194,163,20.659,-1,118,-417,615,70,0,107,-1
-152,13,-173,-323,-112,-24.38,-599,-231,4.814,-103,-90,-13.893,81,4,79,-664,-92,-50,-72,-1
176,-37,-68,260,84,15.898,562,220,-12.83,43,44,3.248,-60,-18,224,568,-128,23,82,1
165,35,327,300,108,23.89,685,307,26.224,143,116,36.75,24,157,84,838,351,96,134,1
-54,112,312,-124,-48,-17.4,53,46,17.093,171,102,22.74,133,71,213,146,445,-7,24,-1
97,35,295,16,0,0,868,437,11.087,226,202,36.906,109,42,545,1076,404,16,67,1
110,-12,31,436,157,14.068,508,141,-2.483,112,100,25.844,-45,30,-358,539,-14,27,64,-1
-108,49,30,-407,-147,-25.24,-794,-322,0.483,-39,-36,-13.428,38,-25,-242,-827,68,-70,-45,-1
-29,13,-27,-296,-114,-14.842,-280,-109,-4.227,6,-20,-11.548,68,56,302,-352,41,81,-37,1
58,-70,-126,290,111,9.587,-140,-141,-11.378,-217,-133,-5.854,-58,-144,374,-304,-184,-29,-3,1
-45,78,292,-1,0,0,-29,-18,6.409,78,17,-0.529,78,100,106,-19,370,-14,29,1
-106,24,40,-484,-176,-25.968,-407,-110,-0.011,-118,-98,-26.71,55,1,418,-494,95,-37,-37,1
73,78,236,-22,-9,-8,110,93,13.533,110,115,27.555,53,44,82,292,289,-16,62,-1
389,42,347,362,127,19.264,814,351,24.079,177,152,43.754,54,89,180,981,401,61,203,-1
69,24,84,68,26,5.783,275,102,-0.303,-15,-10,-3.2,21,82,74,220,105,24,39,-1
-56,-43,-312,-239,-87,-9.422,-349,-128,-4.275,-94,-63,-19.267,-70,-64,-20,-406,-382,-28,-67,-1
-12,6,139,210,86,6.357,-8,-10,2.032,-95,-89,-1.251,40,-48,416,-23,179,116,-47,1
-92,-44,-184,-18,-6,-4,-195,-114,-2.203,-83,-79,-12.469,-17,-68,-45,-313,-201,-73,-73,1
69,6,179,42,15,12,459,209,24.242,130,84,19.671,96,160,-72,517,275,108,76,1
-174,-75,-148,196,81,11.142,-288,-193,-8.193,-258,-173,-14.525,-85,-82,240,-478,-233,4,-70,-1
-36,-26,-275,-14,0,0,-728,-362,-0.874,-154,-134,-18.255,-72,-26,-529,-858,-347,-5,-57,-1
94,-29,-100,12,3,-7.211,3,2,-14.151,119,98,5.608,-68,-110,3,105,-168,10,44,1
219,-39,-160,219,88,11.299,323,127,-5.235,-10,3,10.999,-140,-59,-135,345,-300,-33,32,1
239,33,190,95,25,0.293,665,299,0.623,413,343,32.833,51,17,-54,966,241,66,79,-1
-183,-10,-121,-344,-117,-23.338,-929,-374,-27.141,-271,-245,-58.233,-18,-121,-181,-1110,-139,-51,-112,1
390,-3,212,399,139,23.335,696,273,2.778,116,106,30.137,-12,5,246,791,200,43,173,-1
