,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
9,0.0,-1.01319,1.01319,On,3.03957,1.01319,2.02638,0.164,1.01319,3.03957,0.092,-9.11871,-11.14509,-0.446,5,On/Off Court,,0,19.4583333333,2.02638,5.06595,-5.06595,-3.03957,-3.03957,5.06595,-2.02638,OKC,1610612760,Oklahoma City Thunder,6.07914,1737.0,"Mohammed, Nazr",5,1.0
10,12.15828,1.01319,-1.01319,On,88.14753,72.94968,55.72545,0.06,4.05276,53.69907,0.031,-82.06839,-51.67269,0.025,68,On/Off Court,,22,926.431666667,4.05276,60.7914,-60.7914,111.4509,111.4509,92.20029,-30.3957,OKC,1610612760,Oklahoma City Thunder,67.88373,201627.0,"Morrow, Anthony",46,0.676
11,-1.01319,-1.01319,1.01319,On,6.07914,4.05276,3.03957,0.087,1.01319,4.05276,0.075,-3.03957,-4.05276,-0.357,7,On/Off Court,,0,24.4666666667,0.0,0.0,0.0,7.09233,7.09233,6.07914,4.05276,OKC,1610612760,Oklahoma City Thunder,1.01319,200779.0,"Novak, Steve",7,1.0
12,1.01319,0.0,0.0,On,32.42208,53.69907,13.17147,-0.018,50.6595,13.17147,-0.008,-85.10796,-67.88373,-0.012,57,On/Off Court,,13,697.613333333,42.55398,48.63312,-48.63312,-28.36932,-28.36932,74.97606,-1.01319,OKC,1610612760,Oklahoma City Thunder,40.5276,1626166.0,"Payne, Cameron",44,0.772
13,85.10796,96.25305,-96.25305,On,252.28431,-58.76502,-37.48803,-0.024,-109.42452,107.39814,0.055,100.30581,87.13434,0.013,70,On/Off Court,,22,1553.30833333,45.59355,-22.29018,22.29018,264.44259,264.44259,297.87786,-32.42208,OKC,1610612760,Oklahoma City Thunder,73.96287,203460.0,"Roberson, Andre",48,0.686
14,-50.6595,-6.07914,6.07914,On,104.35857,-3.03957,3.03957,0.008,-26.34294,-25.32975,-0.008,21.27699,25.32975,0.018,68,On/Off Court,,25,977.135,80.04201,57.75183,-57.75183,-22.29018,-22.29018,184.40058,-53.69907,OKC,1610612760,Oklahoma City Thunder,90.17391,202713.0,"Singler, Kyle",43,0.632
15,-24.31656,34.44846,-34.44846,On,196.55886,46.60674,22.29018,0.005,-27.35613,38.50122,0.013,96.25305,115.50366,0.035,78,On/Off Court,,25,2151.61833333,89.16072,36.47484,-36.47484,214.79628,214.79628,285.71958,-49.64631,OKC,1610612760,Oklahoma City Thunder,117.53004,203079.0,"Waiters, Dion",53,0.679
16,160.08402,133.74108,-133.74108,On,432.63213,-10.1319,-7.09233,-0.003,-61.80459,245.19198,0.054,157.04445,160.08402,0.027,80,On/Off Court,,25,2749.46833333,103.34538,-25.32975,25.32975,643.37565,643.37565,535.97751,-57.75183,OKC,1610612760,Oklahoma City Thunder,108.41133,201566.0,"Westbrook, Russell",55,0.688
0,-24.31656,-11.14509,11.14509,Off,261.40302,29.38251,15.19785,0.005,-58.76502,49.64631,0.022,-57.75183,6.07914,0.048,82,On/Off Court,,27,1951.62333333,72.94968,87.13434,-87.13434,120.56961,120.56961,334.3527,-102.33219,OKC,1610612760,Oklahoma City Thunder,173.25549,203500.0,"Adams, Steven",55,0.671
1,146.91255,133.74108,-133.74108,Off,483.29163,17.22423,20.2638,0.008,-87.13434,229.99413,0.043,143.87298,143.87298,0.018,82,On/Off Court,,27,3447.135,124.62237,25.32975,-25.32975,624.12504,624.12504,607.914,-82.06839,OKC,1610612760,Oklahoma City Thunder,190.47972,201571.0,"Augustin, D.J.",55,0.671
