,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
206,1.01319,0.0,0.0,3.03957,-2.02638,0.0,0.0,1.01319,1.01319,0.095,0.0,2.02638,0.667,3,2440 - 1713 - 201596 - 203210 - 201145,"Barnes,Matt - Carter,Vince - Chalmers,Mario - Green,JaMychal - Green,Jeff",Lineups,,0,4.2,0.0,0.0,0.0,4.05276,4.05276,3.03957,1.01319,,,,-2.02638,3,1.0
207,2.02638,0.0,0.0,0.0,-4.05276,0.0,0.0,-2.02638,1.01319,0.257,-4.05276,-3.03957,0.167,2,1713 - 201596 - 201144 - 202362 - 201148,"Carter,Vince - Chalmers,Mario - Conley,Mike - Stephenson,Lance - Wright,Brandan",Lineups,,2,4.18166666667,-2.02638,0.0,0.0,-1.01319,-1.01319,-2.02638,1.01319,,,,1.01319,0,0.0
208,-2.02638,1.01319,-1.01319,0.0,2.02638,1.01319,0.5,-2.02638,-2.02638,-0.171,2.02638,4.05276,0.5,1,2754 - 1626185 - 203492 - 202362 - 1627293,"Allen,Tony - Martin,Jarell - McCallum,Ray - Stephenson,Lance - Stepheson,Alex",Lineups,,1,4.17833333333,-1.01319,-2.02638,2.02638,1.01319,1.01319,-1.01319,0.0,,,,-1.01319,0,0.0
209,0.0,-1.01319,1.01319,3.03957,-2.02638,-2.02638,-0.667,-2.02638,0.0,0.114,2.02638,2.02638,1.0,1,201596 - 203516 - 203210 - 201584 - 2216,"Chalmers,Mario - Ennis,James - Green,JaMychal - Lee,Courtney - Randolph,Zach",Lineups,,1,4.15,-1.01319,-3.03957,3.03957,0.0,0.0,2.02638,-1.01319,,,,1.01319,0,0.0
210,-2.02638,0.0,0.0,1.01319,0.0,1.01319,1.0,-3.03957,-2.02638,0.036,1.01319,2.02638,1.0,1,2440 - 201144 - 203210 - 201145 - 201148,"Barnes,Matt - Conley,Mike - Green,JaMychal - Green,Jeff - Wright,Brandan",Lineups,,0,4.13333333333,1.01319,3.03957,-3.03957,-1.01319,-1.01319,2.02638,1.01319,,,,2.02638,1,1.0
211,-2.02638,-1.01319,1.01319,1.01319,-4.05276,-2.02638,-0.5,-5.06595,-3.03957,0.042,0.0,1.01319,0.5,1,2754 - 1713 - 201596 - 201145 - 200797,"Allen,Tony - Carter,Vince - Chalmers,Mario - Green,Jeff - Hollins,Ryan",Lineups,,0,4.1,-1.01319,2.02638,-2.02638,-7.09233,-7.09233,0.0,-2.02638,,,,2.02638,1,1.0
212,-1.01319,1.01319,-1.01319,-1.01319,3.03957,0.0,-0.75,-2.02638,-1.01319,-0.048,-5.06595,-5.06595,-1.0,1,2365 - 203516 - 203210 - 203798 - 202362,"Andersen,Chris - Ennis,James - Green,JaMychal - Hairston,PJ - Stephenson,Lance",Lineups,,0,4.08333333333,-1.01319,3.03957,-3.03957,-7.09233,-7.09233,-2.02638,-1.01319,,,,1.01319,1,1.0
213,-1.01319,0.0,0.0,-2.02638,-1.01319,-1.01319,-0.083,0.0,-1.01319,-0.143,0.0,0.0,0.0,1,2440 - 1713 - 200797 - 1626185 - 202362,"Barnes,Matt - Carter,Vince - Hollins,Ryan - Martin,Jarell - Stephenson,Lance",Lineups,,1,4.05,-1.01319,0.0,0.0,-3.03957,-3.03957,-3.03957,1.01319,,,,-2.02638,0,0.0
214,-2.02638,0.0,0.0,1.01319,-1.01319,-2.02638,-0.667,0.0,0.0,0.0,0.0,0.0,0.0,2,2754 - 1713 - 201144 - 201145 - 2216,"Allen,Tony - Carter,Vince - Conley,Mike - Green,Jeff - Randolph,Zach",Lineups,,1,4.01666666667,0.0,0.0,0.0,-2.02638,-2.02638,1.01319,0.0,,,,-1.01319,1,0.5
215,0.0,0.0,0.0,0.0,-2.02638,-2.02638,-0.5,0.0,0.0,0.0,-2.02638,-2.02638,-1.0,2,2440 - 201144 - 201188 - 201584 - 201148,"Barnes,Matt - Conley,Mike - Gasol,Marc - Lee,Courtney - Wright,Brandan",Lineups,,1,4.0,-1.01319,2.02638,-2.02638,-4.05276,-4.05276,-1.01319,0.0,,,,0.0,1,0.5
