,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
1,0,174,Alley Oop Layup shot,0.583,0,0,0.0,12,7,0.583,Shot Type,Alley Oop Layup shot,1.0,0.0,1.0,0.0,0.0,0.0
2,1,174,Cutting Dunk Shot,0.933,0,0,0.0,45,42,0.933,Shot Type,Cutting Dunk Shot,1.0,0.0,1.0,0.0,0.0,0.0
3,0,174,Cutting Finger Roll Layup Shot,0.8,0,0,0.0,20,16,0.8,Shot Type,Cutting Finger Roll Layup Shot,1.0,0.0,1.0,0.0,0.0,0.0
4,21,174,Cutting Layup Shot,0.648,0,0,0.0,165,107,0.648,Shot Type,Cutting Layup Shot,0.981,0.0,0.981,0.019,0.0,0.019
5,0,174,Driving Bank Hook Shot,0.5,0,0,0.0,2,1,0.5,Shot Type,Driving Bank Hook Shot,1.0,0.0,1.0,0.0,0.0,0.0
6,2,174,Driving Bank shot,0.371,0,0,0.0,35,13,0.371,Shot Type,Driving Bank shot,0.077,0.0,0.077,0.923,0.0,0.923
7,1,174,Driving Dunk Shot,0.87,0,0,0.0,23,20,0.87,Shot Type,Driving Dunk Shot,0.5,0.0,0.5,0.5,0.0,0.5
8,3,174,Driving Finger Roll Layup Shot,0.71,0,0,0.0,62,44,0.71,Shot Type,Driving Finger Roll Layup Shot,0.273,0.0,0.273,0.727,0.0,0.727
9,0,174,Driving Floating Bank Jump Shot,0.735,0,0,0.0,34,25,0.735,Shot Type,Driving Floating Bank Jump Shot,0.12,0.0,0.12,0.88,0.0,0.88
10,4,174,Driving Floating Jump Shot,0.43,1,0,0.0,86,37,0.43,Shot Type,Driving Floating Jump Shot,0.108,0.0,0.108,0.892,0.0,0.892
11,3,174,Driving Hook Shot,0.574,0,0,0.0,68,39,0.574,Shot Type,Driving Hook Shot,0.231,0.0,0.231,0.769,0.0,0.769
12,52,174,Driving Layup Shot,0.572,0,0,0.0,446,255,0.572,Shot Type,Driving Layup Shot,0.204,0.0,0.204,0.796,0.0,0.796
13,0,174,Driving Reverse Dunk Shot,0.0,0,0,0.0,0,0,0.0,Shot Type,Driving Reverse Dunk Shot,0.0,0.0,0.0,0.0,0.0,0.0
