AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PLUS_MINUS,PTS,REB,STL,TOV,WL
403.0,41.0,369.0,399.0,139.0,23.334999999999994,863.0,367.0,26.171999999999993,192.0,163.0,48.92099999999999,53.0,113.0,223.0,1036.0,422.0,64.0,204.0,1
-13.0,-3.0,31.0,-83.0,-33.0,-5.399999999999999,234.0,105.0,2.3189999999999884,83.0,50.0,8.505000000000003,55.0,21.0,38.0,227.0,86.0,84.0,31.0,1
118.0,8.0,107.0,457.0,170.0,18.241999999999994,390.0,142.0,5.448000000000004,23.0,36.0,18.154,-37.0,2.0,130.0,490.0,70.0,50.0,35.0,1
159.0,1.0,185.0,416.0,163.0,20.715999999999994,684.0,286.0,14.924999999999997,106.0,82.0,23.325000000000003,49.0,132.0,34.0,817.0,234.0,141.0,89.0,-1
94.0,-29.0,-100.0,12.0,3.0,-7.2109999999999985,3.0,2.0,-14.150999999999987,119.0,98.0,5.607999999999993,-68.0,-110.0,3.0,105.0,-168.0,10.0,44.0,1
-27.0,69.0,302.0,-469.0,-176.0,-25.967999999999986,323.0,276.0,10.940000000000026,122.0,109.0,9.845999999999982,156.0,18.0,993.0,485.0,458.0,-18.0,8.0,1
81.0,56.0,342.0,-67.0,-22.0,-9.526,870.0,465.0,18.716000000000008,247.0,215.0,38.18999999999999,158.0,106.0,502.0,1123.0,500.0,19.0,75.0,1
117.0,-6.0,-158.0,-229.0,-83.0,-12.143999999999988,-437.0,-174.0,-12.676,-56.0,-61.0,-27.927,-113.0,-34.0,-80.0,-492.0,-271.0,25.0,20.0,-1
-13.0,-19.0,-179.0,102.0,38.0,0.3500000000000014,294.0,136.0,1.6110000000000007,-28.0,-27.0,-5.366000000000007,20.0,-12.0,140.0,283.0,-159.0,19.0,-29.0,-1
7.0,-2.0,89.0,-247.0,-85.0,0.4970000000000212,77.0,94.0,4.169000000000011,-49.0,-40.0,-8.63000000000001,3.0,9.0,332.0,63.0,92.0,-31.0,-9.0,1
-118.0,-8.0,-107.0,-457.0,-170.0,-18.241999999999994,-390.0,-142.0,-5.448000000000004,-23.0,-36.0,-18.154,37.0,-2.0,-130.0,-490.0,-70.0,-50.0,-35.0,1
-218.0,-111.0,-392.0,188.0,63.0,3.1900000000000013,-378.0,-268.0,-14.764999999999997,-271.0,-181.0,-21.603999999999992,-103.0,-167.0,-23.0,-654.0,-495.0,-57.0,-128.0,1
